YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Sex,Grade,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2023,2023,AK,Alaska,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,17.4,17.4,,,13.9,21.6,444,,,9th,,"(64.845079957001, -147.722059036)",PA,PA1,Q048,VALUE,02,Grade,9th,GRADE,GRADE09
2023,2023,AK,Alaska,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,18.8,18.8,,,13.5,25.5,305,,,10th,,"(64.845079957001, -147.722059036)",PA,PA1,Q048,VALUE,02,Grade,10th,GRADE,GRADE10
2023,2023,AK,Alaska,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,16.9,16.9,,,12.3,22.8,234,,,11th,,"(64.845079957001, -147.722059036)",PA,PA1,Q048,VALUE,02,Grade,11th,GRADE,GRADE11
2023,2023,AK,Alaska,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,19.2,19.2,,,12.2,29,134,,,12th,,"(64.845079957001, -147.722059036)",PA,PA1,Q048,VALUE,02,Grade,12th,GRADE,GRADE12
2023,2023,AR,Arkansas,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,24.7,24.7,,,18.2,32.7,223,,,9th,,"(34.748650124, -92.274490743)",PA,PA1,Q048,VALUE,05,Grade,9th,GRADE,GRADE09
2023,2023,AR,Arkansas,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,27.3,27.3,,,19.5,36.8,209,,,10th,,"(34.748650124, -92.274490743)",PA,PA1,Q048,VALUE,05,Grade,10th,GRADE,GRADE10
2023,2023,AR,Arkansas,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,20.2,20.2,,,14.9,26.9,183,,,11th,,"(34.748650124, -92.274490743)",PA,PA1,Q048,VALUE,05,Grade,11th,GRADE,GRADE11
2023,2023,AR,Arkansas,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,28.8,28.8,,,22.8,35.8,51,,,12th,,"(34.748650124, -92.274490743)",PA,PA1,Q048,VALUE,05,Grade,12th,GRADE,GRADE12
2023,2023,CT,Connecticut,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,30,30,,,24.9,35.7,775,,,9th,,"(41.56266102, -72.649840952)",PA,PA1,Q048,VALUE,09,Grade,9th,GRADE,GRADE09
2023,2023,CT,Connecticut,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,27.8,27.8,,,24.1,31.9,808,,,10th,,"(41.56266102, -72.649840952)",PA,PA1,Q048,VALUE,09,Grade,10th,GRADE,GRADE10
2023,2023,CT,Connecticut,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,26,26,,,21.8,30.6,786,,,11th,,"(41.56266102, -72.649840952)",PA,PA1,Q048,VALUE,09,Grade,11th,GRADE,GRADE11
2023,2023,CT,Connecticut,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,24.5,24.5,,,20.5,29.1,631,,,12th,,"(41.56266102, -72.649840952)",PA,PA1,Q048,VALUE,09,Grade,12th,GRADE,GRADE12
2023,2023,DE,Delaware,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,26,26,,,20.5,32.4,385,,,9th,,"(39.008830667, -75.577741168)",PA,PA1,Q048,VALUE,10,Grade,9th,GRADE,GRADE09
2023,2023,DE,Delaware,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,19.3,19.3,,,14.2,25.7,264,,,10th,,"(39.008830667, -75.577741168)",PA,PA1,Q048,VALUE,10,Grade,10th,GRADE,GRADE10
2023,2023,DE,Delaware,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,21.7,21.7,,,18,25.9,399,,,11th,,"(39.008830667, -75.577741168)",PA,PA1,Q048,VALUE,10,Grade,11th,GRADE,GRADE11
2023,2023,DE,Delaware,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,22,22,,,12,37,89,,,12th,,"(39.008830667, -75.577741168)",PA,PA1,Q048,VALUE,10,Grade,12th,GRADE,GRADE12
2023,2023,DC,District of Columbia,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,19.7,19.7,,,18.3,21.2,3033,,,9th,,"(38.890371385, -77.031961127)",PA,PA1,Q048,VALUE,11,Grade,9th,GRADE,GRADE09
2023,2023,DC,District of Columbia,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,19,19,,,17.6,20.4,2873,,,10th,,"(38.890371385, -77.031961127)",PA,PA1,Q048,VALUE,11,Grade,10th,GRADE,GRADE10
2023,2023,DC,District of Columbia,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,18.5,18.5,,,17,20.1,2495,,,11th,,"(38.890371385, -77.031961127)",PA,PA1,Q048,VALUE,11,Grade,11th,GRADE,GRADE11
2023,2023,DC,District of Columbia,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,19.2,19.2,,,17.5,21,1994,,,12th,,"(38.890371385, -77.031961127)",PA,PA1,Q048,VALUE,11,Grade,12th,GRADE,GRADE12
2023,2023,HI,Hawaii,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,25.4,25.4,,,21.4,29.9,1204,,,9th,,"(21.304850435, -157.857749403)",PA,PA1,Q048,VALUE,15,Grade,9th,GRADE,GRADE09
2023,2023,HI,Hawaii,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,23,23,,,19.8,26.5,974,,,10th,,"(21.304850435, -157.857749403)",PA,PA1,Q048,VALUE,15,Grade,10th,GRADE,GRADE10
2023,2023,HI,Hawaii,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,20.7,20.7,,,18,23.8,952,,,11th,,"(21.304850435, -157.857749403)",PA,PA1,Q048,VALUE,15,Grade,11th,GRADE,GRADE11
2023,2023,HI,Hawaii,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,19.3,19.3,,,16.4,22.5,922,,,12th,,"(21.304850435, -157.857749403)",PA,PA1,Q048,VALUE,15,Grade,12th,GRADE,GRADE12
2023,2023,IL,Illinois,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,26.8,26.8,,,22.8,31.1,760,,,9th,,"(40.485010283, -88.997710178)",PA,PA1,Q048,VALUE,17,Grade,9th,GRADE,GRADE09
2023,2023,IL,Illinois,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,24.2,24.2,,,20.2,28.6,821,,,10th,,"(40.485010283, -88.997710178)",PA,PA1,Q048,VALUE,17,Grade,10th,GRADE,GRADE10
2023,2023,IL,Illinois,Youth Risk Behavior Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily,,Value,22.4,22.4,,,17,28.8,631,,,11th,,"(40.485010283, -88.997710178)",PA,PA1,Q048,VALUE,17,Grade,11th,GRADE,GRADE11
