YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Total,Sex,Grade,Race,Latitude,Longitude,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2023,2023,AK,Alaska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,12.2,12.2,,,6.6,21.5,115,,,,Asian,"(64.845079957001, -147.722059036)",OWS,OWS1,Q039,VALUE,02,Race/Ethnicity,Asian,RACE,RACEASN
2023,2023,AK,Alaska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,21,21,,,9.9,39.2,30,,,,Non-Hispanic Black,"(64.845079957001, -147.722059036)",OWS,OWS1,Q039,VALUE,02,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2023,2023,AK,Alaska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,18.8,18.8,,,10.9,30.4,123,,,,Hispanic,"(64.845079957001, -147.722059036)",OWS,OWS1,Q039,VALUE,02,Race/Ethnicity,Hispanic,RACE,RACEHIS
2023,2023,AK,Alaska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,19.4,19.4,,,13.1,27.6,167,,,,American Indian/Alaska Native,"(64.845079957001, -147.722059036)",OWS,OWS1,Q039,VALUE,02,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2023,2023,AK,Alaska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,12.8,12.8,,,10.1,16,428,,,,Non-Hispanic White,"(64.845079957001, -147.722059036)",OWS,OWS1,Q039,VALUE,02,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2023,2023,AR,Arkansas,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,16.2,16.2,,,9.1,27.3,131,,,,Non-Hispanic Black,"(34.748650124, -92.274490743)",OWS,OWS1,Q039,VALUE,05,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2023,2023,AR,Arkansas,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,20.2,20.2,,,12.5,31,85,,,,Hispanic,"(34.748650124, -92.274490743)",OWS,OWS1,Q039,VALUE,05,Race/Ethnicity,Hispanic,RACE,RACEHIS
2023,2023,AR,Arkansas,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,15.3,15.3,,,10.8,21.2,344,,,,Non-Hispanic White,"(34.748650124, -92.274490743)",OWS,OWS1,Q039,VALUE,05,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2023,2023,CT,Connecticut,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,16,16,,,10.9,22.8,162,,,,Asian,"(41.56266102, -72.649840952)",OWS,OWS1,Q039,VALUE,09,Race/Ethnicity,Asian,RACE,RACEASN
2023,2023,CT,Connecticut,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have an overweight classification,,Value,17.3,17.3,,,13.1,22.4,298,,,,Non-Hispanic Black,"(41.56266102, -72.649840952)",OWS,OWS1,Q039,VALUE,09,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
